SAMPLING EVENT IDENTIFIER,Diversidad_Grupo,Shannon_Index,PC1,Factor1,PC2,Factor2,PC3,Factor3
S196069774,Alta_Q3,2.631153010345125,1.5568729712648928,-0.7464854312985961,-0.655958582845204,-0.654396763483632,0.8530321391366635,0.8819043838371652
S196095422,Media_Q2_Q3,2.4694208239648243,-3.79422155975039,-0.5456693949248368,0.22120279485793293,2.1058885203326154,0.5949818579293026,-0.051962974484364155
S194444482,Alta_Q3,2.8718728125865938,-1.1968264111620495,-0.47653741995914733,-1.2522522532038152,0.11082661475322522,-0.17686575586091102,-0.7569950297945053
S196001176,Media_Q2_Q3,2.457141503793179,1.92485177182374,-0.6804511668584107,-1.464754307557685,-1.1173501272901822,0.1635743476507137,0.07717780110974713
S197073435,Alta_Q3,3.053303731214422,2.241550399006932,-0.20997254360828993,-0.15032073170430535,-0.8612442657292237,0.50037832238452,0.7547130434010423
S197030140,Media_Q2_Q3,2.1740212258862455,1.7035645472815775,0.15113664041215624,-0.36410415909790267,-1.019922564735487,-0.481764116050465,-0.06671941917054262
S194771761,Media_Q2_Q3,1.8407487285692812,-2.6210608852681405,0.10580444192009733,-0.15671698783273644,1.126538454409121,-0.5093685832417748,-1.0086172197352774
S196007844,Media_Q2_Q3,2.457141503793179,1.92485177182374,-0.6804511668584107,-1.464754307557685,-1.1173501272901822,0.1635743476507137,0.07717780110974713
S198062906,Media_Q2_Q3,2.457141503793179,1.92485177182374,-0.6804511668584107,-1.464754307557685,-1.1173501272901822,0.1635743476507137,0.07717780110974713
S195680893,Media_Q2_Q3,2.246941028905556,1.0760595665455113,-0.8521089978223414,-1.9543506203428498,-0.906077084583277,-0.17748020224853897,-0.41404966818529615
S197247529,Media_Q2_Q3,2.457141503793179,1.92485177182374,-0.6804511668584107,-1.464754307557685,-1.1173501272901822,0.1635743476507137,0.07717780110974713
S196510078,Media_Q2_Q3,2.457141503793179,1.92485177182374,-0.6804511668584107,-1.464754307557685,-1.1173501272901822,0.1635743476507137,0.07717780110974713
S196122812,Media_Q2_Q3,2.457141503793179,1.92485177182374,-0.6804511668584107,-1.464754307557685,-1.1173501272901822,0.1635743476507137,0.07717780110974713
S194419486,Media_Q2_Q3,2.3716183479373347,-0.8600695120264015,-0.028261348918279063,-0.8378425599575662,-0.0011867407964392994,-0.9320829341675623,-1.0965578795776292
S196003568,Media_Q2_Q3,2.457141503793179,1.92485177182374,-0.6804511668584107,-1.464754307557685,-1.1173501272901822,0.1635743476507137,0.07717780110974713
S197812163,Alta_Q3,2.567787921095697,-1.8440510222063051,0.6079814771951793,0.8490808791737353,0.9734311065909772,-0.7890048511996797,-0.6734596296515588
S196738747,Media_Q2_Q3,2.212522259327074,1.4081077097217094,-0.05805820173383228,-0.7133926251345778,-0.7689988774826637,-0.3410017088472757,-0.10288286446199697
S195914033,Media_Q2_Q3,2.0419680381966137,0.25428317863443506,-0.0863773321780187,0.662632007480053,0.4288064094700838,1.0359172900290072,0.9216419313214391
S196790062,Alta_Q3,3.053303731214422,2.241550399006932,-0.20997254360828993,-0.15032073170430535,-0.8612442657292237,0.50037832238452,0.7547130434010423
S197051672,Media_Q2_Q3,2.1740212258862455,1.7035645472815775,0.15113664041215624,-0.36410415909790267,-1.019922564735487,-0.481764116050465,-0.06671941917054262
S196012868,Media_Q2_Q3,2.457141503793179,1.92485177182374,-0.6804511668584107,-1.464754307557685,-1.1173501272901822,0.1635743476507137,0.07717780110974713
S198515780,Media_Q2_Q3,2.5199496476005887,1.3732100388911368,-0.7330787609068918,-0.6559652768452314,-0.5016983402450057,1.3081089680883222,0.9334457586012765
S196537052,Alta_Q3,2.6573761608286888,1.113338201645777,0.06525535267900415,1.03737647122046,-0.039970563626764787,1.301630007589138,1.3366314747337975
S196007482,Media_Q2_Q3,2.457141503793179,1.92485177182374,-0.6804511668584107,-1.464754307557685,-1.1173501272901822,0.1635743476507137,0.07717780110974713
S198522328,Media_Q2_Q3,2.5199496476005887,1.3732100388911368,-0.7330787609068918,-0.6559652768452314,-0.5016983402450057,1.3081089680883222,0.9334457586012765
S204540218,Media_Q2_Q3,2.1740212258862455,1.7035645472815775,0.15113664041215624,-0.36410415909790267,-1.019922564735487,-0.481764116050465,-0.06671941917054262
S196329480,Alta_Q3,2.7656169632249825,2.418647093281634,-1.0282875532702425,-1.9790270837512456,-1.5538466931561292,0.14655942980284212,0.07972617423776195
S196521287,Alta_Q3,2.879682475916325,1.8082689261547578,-0.5348914358872003,-1.410369400973068,-1.1903693559264752,-0.23536754968960272,-0.13865857510763938
S194273528,Media_Q2_Q3,2.396020715786068,2.449257898611233,0.04181253967004907,-0.24883047350134244,-1.0610500209365232,0.06790792129588441,0.36180401045779037
S195671016,Media_Q2_Q3,2.4797805882194583,1.0760595665455113,-0.8521089978223414,-1.9543506203428498,-0.906077084583277,-0.17748020224853897,-0.41404966818529615
S197051673,Alta_Q3,2.879682475916325,1.8082689261547578,-0.5348914358872003,-1.410369400973068,-1.1903693559264752,-0.23536754968960272,-0.13865857510763938
S196684756,Media_Q2_Q3,2.3761591322003786,0.14993524525759305,2.0580736578276135,2.8739036019450714,0.5129023865894258,-0.18614529880635194,0.3388300189435155
S204540220,Alta_Q3,2.879682475916325,1.8082689261547578,-0.5348914358872003,-1.410369400973068,-1.1903693559264752,-0.23536754968960272,-0.13865857510763938
S208760931,Media_Q2_Q3,2.3560624208770555,0.5474242458849553,1.9069924318302351,2.544750093782536,-0.014777134503723944,-1.3575968612791112,-0.10350626626055649
S196788663,Baja_Q1,1.3496183749570725,-3.0425540498161845,-0.010616065814865676,1.258584813642164,1.5406213491854412,0.12382163620388167,0.06761045530529057
S204540208,Alta_Q3,2.7656169632249825,2.418647093281634,-1.0282875532702425,-1.9790270837512456,-1.5538466931561292,0.14655942980284212,0.07972617423776195
S197927222,Alta_Q3,2.7656169632249825,2.418647093281634,-1.0282875532702425,-1.9790270837512456,-1.5538466931561292,0.14655942980284212,0.07972617423776195
S211075090,Baja_Q1,1.3496183749570725,-3.0425540498161845,-0.010616065814865676,1.258584813642164,1.5406213491854412,0.12382163620388167,0.06761045530529057
S193582061,Alta_Q3,2.8241816099369434,2.1224647178709963,1.8114979522688854,2.7506726664267007,-0.5355194726835201,-1.3925923175038641,0.44834508259315115
S196638255,Media_Q2_Q3,2.3503589000779233,-1.3359011197539221,0.31825632543146537,1.3701972652823118,1.0313375924686088,0.39578388775979134,0.6293477253297689
S194056877,Media_Q2_Q3,1.8800984731178267,-2.8052938576093625,-0.7983377928367646,-0.9639632805113524,1.047108759107725,0.23525891097314552,-0.7023711954078539
S193992501,Media_Q2_Q3,1.5859875896705249,-3.405980914708143,0.7614708204131805,1.2957180063144824,1.550081417037237,-1.3144577140995426,-1.09429159133595
S194442510,Media_Q2_Q3,2.0035512531785864,-2.3479869818655374,-0.6370416529448663,-1.392308996281417,0.4671925013894707,-0.33140230773821877,-1.2400764268087878
S195078845,Media_Q2_Q3,1.5478149363323943,-0.18317664200738676,-0.5075666496244815,0.1494924267050724,0.22771430244840107,0.9287919211872967,0.8512342657487406
S195818429,Alta_Q3,2.89567621245489,-0.7235662200639473,1.264547973700918,2.0065182550728573,0.529377605965044,-0.6180426490427343,-0.06050297254556939
S196124938,Media_Q2_Q3,1.9059622124864737,-3.6613708854985503,-0.9435018820078963,-0.7620215876249129,1.457182899996604,0.17680377502174185,-0.7333114571128467
S193541424,Alta_Q3,2.60125951839242,2.059093425863489,2.3644632977464948,1.5296024903642065,-0.8675295743762228,-1.779534762699586,-0.7778237096045711
S195779659,Media_Q2_Q3,2.120029910567717,2.104854181776103,-0.5245951343756915,-0.5947360755402382,-0.8839947652527754,0.709335667879835,0.7197797971635792
S194078608,Media_Q2_Q3,1.8713182369214145,-3.7484018804754973,0.4672323477862868,0.34960448223878793,1.422951826461711,-0.4237433275074283,-1.2492510050873022
S194936588,Alta_Q3,2.652932269506349,1.654804677226127,-1.1818080856558668,-0.38491616094209824,-0.3471025708856801,1.9170656420603047,1.8788886454107558
S204540224,Alta_Q3,2.652932269506349,1.654804677226127,-1.1818080856558668,-0.38491616094209824,-0.3471025708856801,1.9170656420603047,1.8788886454107558
S196659311,Media_Q2_Q3,1.9027971814206879,0.14993524525759305,2.0580736578276135,2.8739036019450714,0.5129023865894258,-0.18614529880635194,0.3388300189435155
S195929401,Media_Q2_Q3,2.4217563151455943,0.7077464320814841,0.2100388099237831,0.445884122791423,-0.3049260284944143,-0.12979922605336416,0.34019610717794246
S196123161,Baja_Q1,0.6365141682948128,-3.3270458294082905,-0.918795243708792,-0.649706139073918,1.3127826013919899,0.47778349681442484,-0.4359636738757662
